,hand sum,usable A,action,value,times visited
0,0,1,1,0.0,0
1,1,1,1,0.0,0
2,2,1,1,0.0,0
3,3,1,1,0.0,0
4,4,1,1,0.0,0
5,5,1,1,0.0,0
6,6,1,1,0.0,0
7,7,1,1,0.0,0
8,8,1,1,0.0,0
9,9,1,1,0.0,0
10,10,1,1,0.0,0
11,11,1,1,351.9339319857965,29288
12,12,1,1,290.0411966650322,2039
13,13,1,1,276.446891825747,4086
14,14,1,1,273.4945928051209,4531
15,15,1,1,276.8721343873518,5060
16,16,1,1,279.259388166331,5459
17,17,1,1,288.6184684684685,2220
18,18,1,1,299.50000000000006,796
19,19,1,1,307.1265664160402,798
20,20,1,1,312.8370273794002,767
21,21,1,1,328.8383073496652,2245
22,0,0,1,284.3551542046202,386694
23,1,0,1,0.0,0
24,2,0,1,251.8465987132231,27666
25,3,0,1,243.81728692326783,28241
26,4,0,1,240.64859704197386,30899
27,5,0,1,247.06279425435787,33347
28,6,0,1,254.1486802539258,35916
29,7,0,1,266.114529781379,38514
30,8,0,1,279.8644560087138,41315
31,9,0,1,295.24288727338256,44568
32,10,0,1,314.1495884715045,140452
33,11,0,1,322.70539969537776,20353
34,12,0,1,196.72892095208758,42139
35,13,0,1,182.53452959679808,41964
36,14,0,1,170.37739307535608,4910
37,15,0,1,148.21524478413494,4841
38,16,0,1,130.0771847756757,4703
39,17,0,1,109.04937099454091,4213
40,18,0,1,86.94014598540136,4110
41,19,0,1,59.41259842519685,3810
42,20,0,1,29.914824889493314,5882
43,21,0,1,0.0,1724
44,0,1,0,0.0,0
45,1,1,0,0.0,0
46,2,1,0,0.0,0
47,3,1,0,0.0,0
48,4,1,0,0.0,0
49,5,1,0,0.0,0
50,6,1,0,0.0,0
51,7,1,0,0.0,0
52,8,1,0,0.0,0
53,9,1,0,0.0,0
54,10,1,0,0.0,0
55,11,1,0,121.0,3885
56,12,1,0,144.0,277
57,13,1,0,169.0,574
58,14,1,0,196.0,606
59,15,1,0,225.0,698
60,16,1,0,256.0,1024
61,17,1,0,289.0,5473
62,18,1,0,324.0,7282
63,19,1,0,361.0,7578
64,20,1,0,400.0,7841
65,21,1,0,441.0,22369
66,0,0,0,0.0,0
67,1,0,0,0.0,0
68,2,0,0,4.0,3797
69,3,0,0,9.0,3787
70,4,0,0,16.0,4078
71,5,0,0,25.0,4278
72,6,0,0,36.0,4537
73,7,0,0,49.0,5060
74,8,0,0,64.0,5295
75,9,0,0,81.0,5690
76,10,0,0,100.0,17667
77,11,0,0,121.0,2642
78,12,0,0,144.0,5187
79,13,0,0,169.0,7077
80,14,0,0,196.0,47826
81,15,0,0,225.0,45656
82,16,0,0,256.0,43029
83,17,0,0,289.0,39759
84,18,0,0,324.0,36804
85,19,0,0,361.0,34667
86,20,0,0,400.0,53812
87,21,0,0,441.0,15432
